seed,method,error_m
11,fl_static_no_densification,0.05718152970075607
11,fl_static_no_densification,0.08579394221305847
11,fl_static_no_densification,0.015431360341608524
11,fl_static_no_densification,0.07267796248197556
11,fl_static_no_densification,0.01905197650194168
11,fl_static_no_densification,0.11939942836761475
11,fl_static_no_densification,0.016392739489674568
11,fl_static_no_densification,0.02526768110692501
11,fl_static_no_densification,0.1218053475022316
11,fl_static_no_densification,0.12484454363584518
11,fl_static_no_densification,0.1356372982263565
11,fl_static_no_densification,0.134019672870636
11,fl_static_no_densification,0.055172163993120193
11,fl_static_no_densification,0.07997746020555496
11,fl_static_no_densification,0.1701432168483734
11,fl_static_no_densification,0.2845562696456909
11,fl_static_no_densification,0.0979146659374237
11,fl_static_no_densification,0.12628448009490967
11,fl_static_no_densification,0.079389788210392
11,fl_static_no_densification,0.18006868660449982
11,fl_static_no_densification,2.0731213092803955
11,fl_static_no_densification,2.0781290531158447
11,fl_static_no_densification,2.0958192348480225
11,fl_static_no_densification,0.05373581126332283
11,fl_static_no_densification,0.1278284192085266
11,fl_static_no_densification,0.047261834144592285
11,fl_static_no_densification,0.02416977658867836
11,fl_static_no_densification,0.11651790887117386
11,fl_static_no_densification,0.05352558568120003
11,fl_static_no_densification,0.07027467340230942
11,fl_static_no_densification,0.14165644347667694
11,fl_static_no_densification,0.006601328030228615
11,fl_static_no_densification,0.1022261455655098
11,fl_static_no_densification,0.07848764955997467
11,fl_static_no_densification,0.042809005826711655
11,fl_static_no_densification,0.061404187232255936
11,fl_static_no_densification,0.022721413522958755
11,fl_static_no_densification,0.09644778817892075
11,fl_static_no_densification,0.14355170726776123
11,fl_static_no_densification,0.07379734516143799
11,fl_static_no_densification,0.10306757688522339
11,fl_static_no_densification,0.03930311277508736
11,fl_static_no_densification,0.11085126549005508
11,fl_static_no_densification,0.07645809650421143
11,fl_static_no_densification,0.061145585030317307
11,fl_static_no_densification,0.09066968411207199
11,fl_static_no_densification,0.03663002327084541
11,fl_static_no_densification,0.028785163536667824
11,fl_static_no_densification,0.10849084705114365
11,fl_static_no_densification,0.05035026744008064
11,fl_static_no_densification,0.07188299298286438
11,fl_static_no_densification,0.07839957624673843
11,fl_static_no_densification,0.08070847392082214
11,fl_static_no_densification,0.12237586081027985
11,fl_static_no_densification,0.03280454874038696
11,fl_static_no_densification,0.10990747809410095
11,fl_static_no_densification,0.028108762577176094
11,fl_static_no_densification,0.05336760729551315
11,fl_static_no_densification,0.16968384385108948
11,fl_static_no_densification,0.04031793773174286
11,fl_static_no_densification,0.14909805357456207
11,fl_static_no_densification,0.09232104569673538
11,fl_static_no_densification,0.0066971308551728725
11,fl_static_no_densification,0.04996601492166519
11,fl_static_no_densification,0.053890056908130646
11,fl_static_no_densification,0.11434582620859146
11,fl_static_no_densification,0.15145234763622284
11,fl_static_no_densification,0.10113738477230072
11,fl_static_no_densification,0.11832461506128311
11,fl_static_no_densification,0.020685169845819473
11,fl_static_no_densification,0.08422891795635223
11,fl_static_no_densification,0.1083795502781868
11,fl_static_no_densification,0.2935059368610382
11,fl_static_no_densification,0.07886172086000443
11,fl_static_no_densification,0.09478578716516495
11,fl_static_no_densification,0.10268248617649078
11,fl_static_no_densification,0.10065438598394394
11,fl_static_no_densification,0.19517846405506134
11,fl_static_no_densification,0.17319047451019287
11,fl_static_no_densification,0.13735967874526978
11,fl_static_no_densification,0.06226613372564316
11,fl_static_no_densification,0.19051668047904968
11,fl_static_no_densification,0.17914532124996185
11,fl_static_no_densification,0.16118425130844116
11,fl_static_no_densification,0.1032957211136818
11,fl_static_no_densification,0.08295399695634842
11,fl_static_no_densification,0.05017153173685074
11,fl_static_no_densification,0.093148373067379
11,fl_static_no_densification,0.06084396317601204
11,fl_static_no_densification,0.020556477829813957
11,fl_static_no_densification,0.2268710434436798
11,fl_static_no_densification,0.20893032848834991
11,fl_static_no_densification,0.1359061300754547
11,fl_static_no_densification,0.09401487559080124
11,fl_static_no_densification,0.0655939057469368
11,fl_static_no_densification,0.03416488319635391
11,fl_static_no_densification,0.11227168142795563
11,fl_static_no_densification,0.03236540034413338
11,fl_static_no_densification,0.051974665373563766
11,fl_static_no_densification,0.11409664899110794
11,fl_static_no_densification,0.06456827372312546
11,fl_static_no_densification,0.0893893912434578
11,fl_static_no_densification,0.1008266732096672
11,fl_static_no_densification,0.06867153942584991
11,fl_static_no_densification,0.05568286031484604
11,fl_static_no_densification,0.20802399516105652
11,fl_static_no_densification,0.06852362304925919
11,fl_static_no_densification,0.10188363492488861
11,fl_static_no_densification,0.15233339369297028
11,fl_static_no_densification,0.03887641802430153
11,fl_static_no_densification,0.012558174319565296
11,fl_static_no_densification,0.12950454652309418
11,fl_static_no_densification,0.026746349409222603
11,fl_static_no_densification,0.09605512768030167
11,fl_static_no_densification,0.1050185114145279
11,fl_static_no_densification,0.12699712812900543
11,fl_static_no_densification,0.1379450559616089
11,fl_static_no_densification,0.19974228739738464
11,fl_static_no_densification,0.03560736030340195
11,fl_static_no_densification,0.1412937492132187
11,fl_static_no_densification,0.15464399755001068
11,fl_static_no_densification,0.24342800676822662
11,fl_static_no_densification,0.09187053889036179
11,fl_static_no_densification,0.045851752161979675
11,fl_static_no_densification,0.10082148760557175
11,fl_static_no_densification,0.07691740989685059
