seed,method,label,test_condition,mae_m,rmse_m,p90_m,p95_m,max_m,n_test_windows,parameters,model_size_kib_fp32,update_size_kib_fp32,latency_batch1_ms_cpu,training_seconds_cpu,effective_sample_passes,train_windows,validation_windows,test_windows
23,fl_static_no_densification,Federated static DNN without temporal densification,mixed,0.16990767419338226,0.44923844933509827,0.19588789343833923,0.2695119380950928,3.692744493484497,2760,4258,16.6328125,16.6328125,0.04427036000379303,4.3337096079999355,30.0,11040,2760,2760
23,fl_static_no_densification,Federated static DNN without temporal densification,independent,0.09075174480676651,0.10880971699953079,0.17345695197582245,0.2042907029390335,0.49738359451293945,2760,4258,16.6328125,16.6328125,0.043852839999090065,4.3337096079999355,30.0,11040,2760,2760
23,fl_static_no_densification,Federated static DNN without temporal densification,burst,0.3110818564891815,0.748376190662384,1.1942150592803955,2.255018472671509,3.5404748916625977,2760,4258,16.6328125,16.6328125,0.0438419200008866,4.3337096079999355,30.0,11040,2760,2760
37,fl_static_no_densification,Federated static DNN without temporal densification,mixed,0.16378390789031982,0.44091036915779114,0.19379736483097076,0.2652979791164398,3.453547716140747,2760,4258,16.6328125,16.6328125,0.043497609999576525,4.306507764000344,30.0,11040,2760,2760
37,fl_static_no_densification,Federated static DNN without temporal densification,independent,0.09401638805866241,0.11422670632600784,0.18166223168373108,0.21396762132644653,0.5724565982818604,2760,4258,16.6328125,16.6328125,0.04316552000091178,4.306507764000344,30.0,11040,2760,2760
37,fl_static_no_densification,Federated static DNN without temporal densification,burst,0.32871970534324646,0.7856192588806152,1.0696706771850586,2.4967846870422363,3.453547716140747,2760,4258,16.6328125,16.6328125,0.04590097999880527,4.306507764000344,30.0,11040,2760,2760
53,fl_static_no_densification,Federated static DNN without temporal densification,mixed,0.17739485204219818,0.47868603467941284,0.19646577537059784,0.2619650065898895,3.062654972076416,2760,4258,16.6328125,16.6328125,0.043404780003584165,3.9665101329997015,30.0,11040,2760,2760
53,fl_static_no_densification,Federated static DNN without temporal densification,independent,0.0932345762848854,0.11272694170475006,0.18019837141036987,0.21444840729236603,0.7133849263191223,2760,4258,16.6328125,16.6328125,0.04393816999709088,3.9665101329997015,30.0,11040,2760,2760
53,fl_static_no_densification,Federated static DNN without temporal densification,burst,0.2909524440765381,0.7141094207763672,0.4846053123474121,2.196181297302246,3.724154233932495,2760,4258,16.6328125,16.6328125,0.047795179998502135,3.9665101329997015,30.0,11040,2760,2760
71,fl_static_no_densification,Federated static DNN without temporal densification,mixed,0.1675185114145279,0.44762876629829407,0.1893983632326126,0.25654152035713196,3.5571045875549316,2760,4258,16.6328125,16.6328125,0.044773800000257324,4.232526303999748,30.0,11040,2760,2760
71,fl_static_no_densification,Federated static DNN without temporal densification,independent,0.0907839760184288,0.10805752128362656,0.16874508559703827,0.20231573283672333,0.39589938521385193,2760,4258,16.6328125,16.6328125,0.04466625000077329,4.232526303999748,30.0,11040,2760,2760
71,fl_static_no_densification,Federated static DNN without temporal densification,burst,0.28385621309280396,0.6832383871078491,0.702180802822113,2.115994453430176,3.5106289386749268,2760,4258,16.6328125,16.6328125,0.04695404000358394,4.232526303999748,30.0,11040,2760,2760
11,single_pd_lstm_central,Single-PD/RSS LSTM (centralized),mixed,0.9296851754188538,1.0655338764190674,1.5357877016067505,1.7882250547409058,3.6702654361724854,2760,13922,54.3828125,0.0,0.21231660000012198,8.248947408999811,30.0,11040,2760,2760
11,single_pd_lstm_central,Single-PD/RSS LSTM (centralized),independent,0.9655076265335083,1.1160868406295776,1.5993781089782715,1.9552181959152222,4.072630882263184,2760,13922,54.3828125,0.0,0.21483634000105667,8.248947408999811,30.0,11040,2760,2760
11,single_pd_lstm_central,Single-PD/RSS LSTM (centralized),burst,0.8411492109298706,0.9464849829673767,1.4448167085647583,1.5772550106048584,2.1069912910461426,2760,13922,54.3828125,0.0,0.21848545000011654,8.248947408999811,30.0,11040,2760,2760
23,single_pd_lstm_central,Single-PD/RSS LSTM (centralized),mixed,0.9293081760406494,1.0628674030303955,1.5311293601989746,1.7616677284240723,4.067946434020996,2760,13922,54.3828125,0.0,0.1724746999980198,9.035416911000084,30.0,11040,2760,2760
23,single_pd_lstm_central,Single-PD/RSS LSTM (centralized),independent,0.9700262546539307,1.1251449584960938,1.606142520904541,1.9729335308074951,4.064860820770264,2760,13922,54.3828125,0.0,0.17521887999919272,9.035416911000084,30.0,11040,2760,2760
23,single_pd_lstm_central,Single-PD/RSS LSTM (centralized),burst,0.8446123600006104,0.9496051669120789,1.4418716430664062,1.571234107017517,2.0852861404418945,2760,13922,54.3828125,0.0,0.16903279999951337,9.035416911000084,30.0,11040,2760,2760
37,single_pd_lstm_central,Single-PD/RSS LSTM (centralized),mixed,0.9175387620925903,1.058390498161316,1.5346211194992065,1.7654865980148315,4.930394172668457,2760,13922,54.3828125,0.0,0.21937987000001158,9.093597150999813,30.0,11040,2760,2760
37,single_pd_lstm_central,Single-PD/RSS LSTM (centralized),independent,0.9651938676834106,1.115675449371338,1.5998427867889404,1.8590563535690308,4.108259677886963,2760,13922,54.3828125,0.0,0.21834793999914837,9.093597150999813,30.0,11040,2760,2760
37,single_pd_lstm_central,Single-PD/RSS LSTM (centralized),burst,0.8265770077705383,0.9386855959892273,1.4577754735946655,1.5707981586456299,2.0945777893066406,2760,13922,54.3828125,0.0,0.219076620001033,9.093597150999813,30.0,11040,2760,2760
53,single_pd_lstm_central,Single-PD/RSS LSTM (centralized),mixed,0.9566595554351807,1.1046040058135986,1.5822194814682007,1.825051188468933,4.158684730529785,2760,13922,54.3828125,0.0,0.2524352000000363,8.624633195000115,30.0,11040,2760,2760
53,single_pd_lstm_central,Single-PD/RSS LSTM (centralized),independent,1.0143001079559326,1.1750938892364502,1.6772899627685547,2.015155553817749,4.575613021850586,2760,13922,54.3828125,0.0,0.22893823999766028,8.624633195000115,30.0,11040,2760,2760
53,single_pd_lstm_central,Single-PD/RSS LSTM (centralized),burst,0.8801090717315674,0.9913694262504578,1.4840549230575562,1.6148319244384766,2.137275457382202,2760,13922,54.3828125,0.0,0.23970081999777904,8.624633195000115,30.0,11040,2760,2760
71,single_pd_lstm_central,Single-PD/RSS LSTM (centralized),mixed,0.9543910026550293,1.0759062767028809,1.5215204954147339,1.77828848361969,3.9437196254730225,2760,13922,54.3828125,0.0,0.1710811399971135,8.160967776999769,30.0,11040,2760,2760
71,single_pd_lstm_central,Single-PD/RSS LSTM (centralized),independent,0.9947690367698669,1.1306523084640503,1.5842490196228027,1.8964087963104248,4.271267890930176,2760,13922,54.3828125,0.0,0.17064448999917659,8.160967776999769,30.0,11040,2760,2760
71,single_pd_lstm_central,Single-PD/RSS LSTM (centralized),burst,0.8890671133995056,0.9796496629714966,1.4132503271102905,1.565433144569397,2.112825870513916,2760,13922,54.3828125,0.0,0.17413736999969842,8.160967776999769,30.0,11040,2760,2760
