seed,snr_db,aoa_std_deg,method,label,mae_m,rmse_m,p90_m,p95_m
23,15,4.370456435499681,single_pd_lstm_central,Single-PD/RSS LSTM (centralized),0.99375176,1.1325756,1.6264344,1.8784605
23,15,4.370456435499681,adr_tcn_central,ADR TCN-only (centralized),0.13882953,0.17206211,0.2615404,0.33154973
23,15,4.370456435499681,adr_lstm_central,ADR LSTM-only (centralized),0.13874939,0.17187802,0.26304582,0.3314918
23,15,4.370456435499681,adr_tcn_lstm_central,ADR TCN-LSTM (centralized),0.136615,0.16670412,0.2587664,0.31859478
23,15,4.370456435499681,adr_tcn_lstm_federated,Proposed ADR TCN-LSTM (federated),0.14188235,0.17878345,0.27110153,0.34514353
23,20,3.0000000000000004,fl_static_no_densification,Federated static DNN without temporal densification,0.16990767,0.44923845,0.1958879,0.26951194
23,20,3.0000000000000004,single_pd_lstm_central,Single-PD/RSS LSTM (centralized),0.9293082,1.0628674,1.5311294,1.7616677
23,20,3.0000000000000004,adr_tcn_central,ADR TCN-only (centralized),0.09948699,0.13074644,0.18466085,0.23892368
23,20,3.0000000000000004,adr_lstm_central,ADR LSTM-only (centralized),0.09939141,0.13020778,0.1868572,0.24159482
23,20,3.0000000000000004,adr_tcn_lstm_central,ADR TCN-LSTM (centralized),0.09722268,0.123386435,0.18372467,0.23353931
23,20,3.0000000000000004,adr_tcn_lstm_federated,Proposed ADR TCN-LSTM (federated),0.102544494,0.13949054,0.19379021,0.25659284
23,25,2.1297271778393787,fl_static_no_densification,Federated static DNN without temporal densification,0.14488415,0.44300517,0.13865788,0.19008733
23,25,2.1297271778393787,single_pd_lstm_central,Single-PD/RSS LSTM (centralized),0.90417385,1.0351311,1.4919184,1.7110465
23,25,2.1297271778393787,adr_tcn_central,ADR TCN-only (centralized),0.074547194,0.10776048,0.13718714,0.1769793
23,25,2.1297271778393787,adr_lstm_central,ADR LSTM-only (centralized),0.074447274,0.1069395,0.13623945,0.17820434
23,25,2.1297271778393787,adr_tcn_lstm_central,ADR TCN-LSTM (centralized),0.07227149,0.09859704,0.1342817,0.17395212
23,25,2.1297271778393787,adr_tcn_lstm_federated,Proposed ADR TCN-LSTM (federated),0.077596694,0.11822616,0.13788837,0.1859399
23,30,1.6008373651881906,fl_static_no_densification,Federated static DNN without temporal densification,0.12977941,0.44025916,0.104589924,0.14494719
23,30,1.6008373651881906,single_pd_lstm_central,Single-PD/RSS LSTM (centralized),0.8954709,1.025495,1.4757292,1.6986231
23,30,1.6008373651881906,adr_tcn_central,ADR TCN-only (centralized),0.0594974,0.09611082,0.10343797,0.13824603
23,30,1.6008373651881906,adr_lstm_central,ADR LSTM-only (centralized),0.059398357,0.09509976,0.10401033,0.13778579
23,30,1.6008373651881906,adr_tcn_lstm_central,ADR TCN-LSTM (centralized),0.05722173,0.085658245,0.10281893,0.13623405
23,30,1.6008373651881906,adr_tcn_lstm_federated,Proposed ADR TCN-LSTM (federated),0.06254079,0.107719526,0.10405862,0.14038932
23,35,1.3002513113090588,fl_static_no_densification,Federated static DNN without temporal densification,0.12119809,0.4390381,0.08479224,0.11772629
23,35,1.3002513113090588,single_pd_lstm_central,Single-PD/RSS LSTM (centralized),0.89261883,1.0223786,1.4697062,1.6951429
23,35,1.3002513113090588,adr_tcn_central,ADR TCN-only (centralized),0.05094757,0.09051069,0.084009886,0.11317656
23,35,1.3002513113090588,adr_lstm_central,ADR LSTM-only (centralized),0.05085039,0.089393154,0.084009886,0.11317656
23,35,1.3002513113090588,adr_tcn_lstm_central,ADR TCN-LSTM (centralized),0.04867431,0.07930213,0.08384158,0.11202945
23,35,1.3002513113090588,adr_tcn_lstm_federated,Proposed ADR TCN-LSTM (federated),0.05398739,0.10275822,0.08404605,0.114891246
23,40,1.142473721008936,fl_static_no_densification,Federated static DNN without temporal densification,0.116677925,0.4384964,0.074426025,0.105036385
23,40,1.142473721008936,single_pd_lstm_central,Single-PD/RSS LSTM (centralized),0.89170045,1.0214075,1.4672803,1.6960347
23,40,1.142473721008936,adr_tcn_central,ADR TCN-only (centralized),0.04644403,0.08793107,0.07391707,0.10005955
23,40,1.142473721008936,adr_lstm_central,ADR LSTM-only (centralized),0.046348244,0.08675961,0.07391707,0.101191305
23,40,1.142473721008936,adr_tcn_lstm_central,ADR TCN-LSTM (centralized),0.044172946,0.07633648,0.07386666,0.09862913
23,40,1.142473721008936,adr_tcn_lstm_federated,Proposed ADR TCN-LSTM (federated),0.04948237,0.10049626,0.07391707,0.101323366
37,0,14.514365903196108,fl_static_no_densification,Federated static DNN without temporal densification,0.5527882,0.72869736,1.0272311,1.3373053
37,0,14.514365903196108,single_pd_lstm_central,Single-PD/RSS LSTM (centralized),1.6286094,1.7783821,2.5286252,2.744691
37,0,14.514365903196108,adr_tcn_central,ADR TCN-only (centralized),0.4929864,0.5968151,0.93182945,1.1241989
37,0,14.514365903196108,adr_lstm_central,ADR LSTM-only (centralized),0.49128675,0.59564847,0.93182945,1.1241989
37,0,14.514365903196108,adr_tcn_lstm_central,ADR TCN-LSTM (centralized),0.49129972,0.59555966,0.93163663,1.1241989
37,0,14.514365903196108,adr_tcn_lstm_federated,Proposed ADR TCN-LSTM (federated),0.4968206,0.60068595,0.94253767,1.1285756
37,5,9.678112569110613,fl_static_no_densification,Federated static DNN without temporal densification,0.3712741,0.5629335,0.6496176,0.87934005
37,5,9.678112569110613,single_pd_lstm_central,Single-PD/RSS LSTM (centralized),1.3574387,1.5103601,2.173024,2.4178889
37,5,9.678112569110613,adr_tcn_central,ADR TCN-only (centralized),0.3102778,0.3755688,0.5910529,0.704949
37,5,9.678112569110613,adr_lstm_central,ADR LSTM-only (centralized),0.30896142,0.37430042,0.5905715,0.70527583
37,5,9.678112569110613,adr_tcn_lstm_central,ADR TCN-LSTM (centralized),0.30846855,0.37385124,0.5910529,0.7016381
37,5,9.678112569110613,adr_tcn_lstm_federated,Proposed ADR TCN-LSTM (federated),0.31491983,0.3824888,0.6083511,0.7285366
37,10,6.477289161443913,fl_static_no_densification,Federated static DNN without temporal densification,0.2676629,0.48866856,0.42104962,0.579373
37,10,6.477289161443913,single_pd_lstm_central,Single-PD/RSS LSTM (centralized),1.126078,1.2785153,1.8553095,2.1012888
37,10,6.477289161443913,adr_tcn_central,ADR TCN-only (centralized),0.20606251,0.24996486,0.39695105,0.4774296
37,10,6.477289161443913,adr_lstm_central,ADR LSTM-only (centralized),0.20500192,0.24856378,0.39391154,0.46587837
37,10,6.477289161443913,adr_tcn_lstm_central,ADR TCN-LSTM (centralized),0.204284,0.24768803,0.3940186,0.46624085
